"","price","abtest","vehicleType","yearOfRegistration","gearbox","powerPS","kilometer","fuelType","notRepairedDamage"
"120",4700,"test","kombi",2007,"automatik",105,150000,"diesel","ja"
"121",2999,"test","kombi",2001,"automatik",131,150000,"diesel","nein"
"122",18000,"test","limousine",2010,"automatik",245,60000,"diesel","nein"
"123",4900,"control","bus",2007,"manuell",120,150000,"diesel","ja"
"124",1450,"control","bus",2002,"manuell",128,150000,"diesel","ja"
"125",7500,"control","kleinwagen",2012,"manuell",60,20000,"benzin","nein"
"126",23900,"control","cabrio",2006,"manuell",218,30000,"benzin","nein"
"127",17100,"test","bus",2012,"automatik",140,60000,"diesel","nein"
"128",9990,"test","suv",2010,"manuell",150,100000,"diesel","nein"
"129",1250,"test","kleinwagen",2003,"manuell",75,150000,"benzin","nein"
"130",26400,"control","limousine",2010,"automatik",239,150000,"diesel","nein"
"131",2700,"test","bus",2003,"manuell",120,150000,"diesel","nein"
"132",1900,"control","bus",2004,"manuell",102,150000,"benzin","nein"
"133",2500,"control","limousine",2002,"automatik",109,150000,"benzin","nein"
"134",4950,"test","kleinwagen",2008,"automatik",71,70000,"benzin","nein"
"135",2500,"test","bus",2005,"manuell",84,90000,"benzin","nein"
"136",10000,"control","kombi",2013,"manuell",184,60000,"diesel","nein"
"137",990,"test","bus",2000,"manuell",95,150000,"diesel","nein"
"138",20890,"test","coupe",2010,"automatik",184,80000,"benzin","nein"
"139",6500,"control","cabrio",2007,"manuell",111,90000,"benzin","nein"
"140",1750,"control","limousine",2007,"manuell",54,150000,"benzin","ja"
"141",5500,"control","bus",2005,"manuell",150,150000,"diesel","nein"
"142",13999,"control","kleinwagen",2014,"manuell",182,30000,"benzin","nein"
"143",34990,"test","kombi",2015,"automatik",170,10000,"diesel","nein"
"144",2700,"control","kleinwagen",2002,"manuell",64,125000,"benzin","nein"
"145",4450,"control","limousine",2004,"manuell",150,150000,"benzin","nein"
"146",1490,"test","limousine",2000,"manuell",90,125000,"diesel","nein"
"147",10999,"control","kombi",2007,"manuell",272,150000,"benzin","nein"
"148",2999,"test","bus",2001,"automatik",125,150000,"benzin","nein"
"149",2800,"control","kleinwagen",2005,"automatik",102,150000,"benzin","nein"
"150",6500,"test","kleinwagen",2006,"manuell",116,100000,"benzin","nein"
"151",6000,"test","limousine",2010,"manuell",109,150000,"diesel","nein"
"152",8500,"control","limousine",2008,"manuell",122,90000,"benzin","nein"
"153",12700,"control","cabrio",2005,"manuell",179,125000,"benzin","nein"
"154",4990,"test","kleinwagen",2008,"manuell",75,100000,"diesel","nein"
"155",5500,"control","kombi",2007,"manuell",150,150000,"diesel","nein"
"156",850,"control","kombi",2005,"manuell",131,150000,"diesel","nein"
"157",6999,"test","limousine",2011,"manuell",87,90000,"benzin","nein"
"158",2400,"test","limousine",2005,"manuell",150,150000,"diesel","nein"
"159",18977,"test","coupe",2008,"automatik",239,150000,"diesel","nein"
"160",16900,"test","cabrio",2008,"manuell",313,125000,"benzin","nein"
"161",2200,"control","bus",2005,"manuell",120,150000,"diesel","nein"
"162",4250,"control","kleinwagen",2009,"manuell",95,150000,"benzin","nein"
"163",28500,"control","cabrio",2009,"automatik",239,90000,"diesel","nein"
"164",6490,"control","kleinwagen",2012,"manuell",80,50000,"benzin","nein"
"165",5700,"test","limousine",2006,"manuell",101,125000,"benzin","nein"
"166",1090,"control","bus",2001,"manuell",150,150000,"diesel","nein"
"167",19490,"control","suv",2013,"manuell",122,40000,"benzin","nein"
"168",3650,"test","kleinwagen",2006,"manuell",80,125000,"benzin","nein"
"169",2800,"control","kombi",2003,"automatik",180,150000,"diesel","nein"
"170",6500,"test","kombi",2007,"manuell",109,150000,"diesel","nein"
"171",2400,"control","limousine",2007,"manuell",60,150000,"benzin","nein"
"172",5799,"test","bus",2004,"automatik",140,150000,"diesel","nein"
"173",3500,"control","bus",2003,"manuell",136,150000,"diesel","nein"
"174",17900,"control","kombi",2010,"automatik",177,100000,"diesel","ja"
"175",8000,"control","kombi",2005,"manuell",150,150000,"diesel","nein"
"176",1700,"control","kombi",2000,"manuell",101,150000,"diesel","nein"
"177",1699,"test","kombi",2002,"manuell",75,125000,"benzin","nein"
"178",19000,"control","kombi",2014,"manuell",110,30000,"diesel","nein"
"179",4990,"test","kombi",2005,"manuell",143,150000,"benzin","nein"
"180",1600,"control","kombi",2000,"manuell",179,150000,"diesel","nein"
"181",23000,"control","limousine",2010,"manuell",204,150000,"diesel","nein"
"182",1200,"test","kombi",2003,"automatik",176,150000,"diesel","nein"
"183",26500,"control","limousine",2010,"manuell",184,100000,"diesel","nein"
"184",1990,"test","kleinwagen",2001,"manuell",54,80000,"benzin","nein"
"185",10750,"control","kombi",2010,"manuell",147,90000,"benzin","nein"
"186",34990,"test","coupe",2008,"automatik",514,50000,"benzin","nein"
"187",3990,"control","andere",2007,"manuell",75,150000,"diesel","nein"
"188",6750,"test","kleinwagen",2009,"manuell",105,100000,"benzin","nein"
"189",11700,"test","coupe",2010,"automatik",299,150000,"benzin","nein"
"190",1890,"test","kleinwagen",2004,"manuell",63,125000,"benzin","nein"
"191",4350,"control","kleinwagen",2006,"manuell",101,150000,"diesel","nein"
"192",3250,"control","cabrio",2004,"manuell",120,150000,"diesel","nein"
"193",4999,"control","andere",2007,"manuell",105,70000,"benzin","nein"
"194",14200,"control","cabrio",2012,"manuell",126,30000,"benzin","nein"
"195",2290,"control","limousine",2000,"manuell",125,150000,"benzin","nein"
"196",2300,"control","limousine",2004,"manuell",116,150000,"benzin","nein"
"197",18499,"test","kombi",2009,"automatik",190,150000,"diesel","nein"
"198",13800,"control","coupe",2009,"manuell",245,150000,"diesel","nein"
"199",2500,"control","kombi",2001,"automatik",231,150000,"lpg","nein"
"200",7290,"test","coupe",2005,"manuell",231,150000,"benzin","nein"
"201",9299,"control","bus",2006,"manuell",131,125000,"diesel","nein"
"202",1400,"test","kleinwagen",2001,"manuell",82,150000,"benzin","nein"
"203",2700,"control","bus",2005,"manuell",101,150000,"diesel","nein"
"204",4750,"test","kombi",2002,"automatik",207,50000,"benzin","nein"
"205",6100,"control","kleinwagen",2005,"manuell",150,125000,"benzin","nein"
"206",13900,"control","bus",2009,"manuell",140,90000,"diesel","nein"
"207",1200,"control","limousine",2001,"manuell",75,150000,"diesel","nein"
"208",5999,"control","kombi",2011,"manuell",143,150000,"diesel","nein"
"209",17500,"control","kombi",2010,"automatik",147,150000,"diesel","nein"
"210",3299,"test","bus",2004,"manuell",125,150000,"benzin","nein"
"211",3750,"test","kombi",2003,"automatik",131,150000,"benzin","nein"
"212",3900,"test","kombi",2002,"manuell",101,150000,"diesel","nein"
"213",3750,"control","coupe",2000,"manuell",150,150000,"benzin","nein"
"214",4000,"test","limousine",2008,"automatik",140,150000,"diesel","nein"
"215",12500,"test","cabrio",2004,"manuell",157,70000,"benzin","nein"
